GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
BSPQ21-E2,es.deusto.server.db,DBTest,72,0,2,0,23,0,3,0,2,0
BSPQ21-E2,es.deusto.server.db,DBManager,14,14,0,0,4,5,1,2,1,2
BSPQ21-E2,es.deusto.client,ClientApp,303,42,14,0,56,8,13,2,6,2
BSPQ21-E2,es.deusto.serialization,EmployeeList,9,12,0,0,4,5,2,2,2,2
BSPQ21-E2,es.deusto.serialization,EmployeeData,23,60,0,0,11,13,6,7,6,7
BSPQ21-E2,es.deusto.client.windows,ChooseLeaderWindow.new ActionListener() {...},92,9,0,0,14,1,1,1,1,1
BSPQ21-E2,es.deusto.client.windows,ChooseLeaderWindow.new ActionListener() {...},8,6,0,0,3,1,1,1,1,1
BSPQ21-E2,es.deusto.client.windows,ChooseLeaderWindow.new WindowAdapter() {...},8,6,0,0,3,1,1,1,1,1
BSPQ21-E2,es.deusto.client.windows,ClientWindow.new ActionListener() {...},6,9,0,0,2,1,1,1,1,1
BSPQ21-E2,es.deusto.client.windows,ClientWindow.new ActionListener() {...},34,9,2,0,7,1,2,1,1,1
BSPQ21-E2,es.deusto.client.windows,ChooseLeaderWindow,9,203,1,3,1,41,1,5,0,4
BSPQ21-E2,es.deusto.client.windows,ClientWindow.new ActionListener() {...},3,6,0,0,2,1,1,1,1,1
BSPQ21-E2,es.deusto.client.windows,ClientWindow.new ActionListener() {...},6,6,0,0,2,1,1,1,1,1
BSPQ21-E2,es.deusto.client.windows,EmployeeInfoWindow.new ActionListener() {...},8,6,0,0,3,1,1,1,1,1
BSPQ21-E2,es.deusto.client.windows,ChooseLeaderWindow.1.new ActionListener() {...},97,0,4,0,9,0,4,0,2,0
BSPQ21-E2,es.deusto.client.windows,ClientWindow.new ActionListener() {...},9,9,0,0,3,1,1,1,1,1
BSPQ21-E2,es.deusto.client.windows,EmployeeInfoWindow.new WindowAdapter() {...},8,6,0,0,3,1,1,1,1,1
BSPQ21-E2,es.deusto.client.windows,EmployeeInfoWindow.new ActionListener() {...},36,6,0,0,8,1,1,1,1,1
BSPQ21-E2,es.deusto.client.windows,RemoveEmployee.new ActionListener() {...},48,12,0,0,6,1,1,1,1,1
BSPQ21-E2,es.deusto.client.windows,RemoveEmployee.new WindowAdapter() {...},8,6,0,0,3,1,1,1,1,1
BSPQ21-E2,es.deusto.client.windows,ClientWindow,0,172,0,0,0,33,0,2,0,2
BSPQ21-E2,es.deusto.client.windows,RemoveEmployee.new ActionListener() {...},8,6,0,0,3,1,1,1,1,1
BSPQ21-E2,es.deusto.client.windows,ClientWindow.5.new Runnable() {...},25,0,0,0,7,0,2,0,2,0
BSPQ21-E2,es.deusto.client.windows,ClientWindow.2.new Runnable() {...},21,0,0,0,7,0,2,0,2,0
BSPQ21-E2,es.deusto.client.windows,ClientWindow.3.new Runnable() {...},29,0,0,0,8,0,2,0,2,0
BSPQ21-E2,es.deusto.client.windows,EmployeeInfoWindow,28,223,0,0,12,41,8,3,8,3
BSPQ21-E2,es.deusto.client.windows,RemoveEmployee,0,139,0,2,0,28,0,4,0,3
BSPQ21-E2,es.deusto.testing.junit,log4jExample,36,0,0,0,12,0,3,0,3,0
BSPQ21-E2,es.deusto.server,Server,131,270,7,5,31,65,6,7,1,6
BSPQ21-E2,es.deusto.profiling,Employee,77,0,8,0,27,0,7,0,3,0
BSPQ21-E2,es.deusto.profiling,EmployeeProfiling,136,0,14,0,33,0,13,0,6,0
BSPQ21-E2,es.deusto.server.dto,Employee,322,517,64,60,4,21,59,66,14,43
BSPQ21-E2,es.deusto.server.dto,EmployeeDTO,29,30,0,0,13,11,7,5,7,5
